Close;Data;Position
28.994;20.06.2004;3956
28.992;27.06.2004;3963
29.092;04.07.2004;3970
29.065;11.07.2004;3977
29.056;18.07.2004;3984
29.081;25.07.2004;3991
29.179;01.08.2004;3998
29.224;08.08.2004;4005
29.194;15.08.2004;4012
29.202;22.08.2004;4019
29.195;29.08.2004;4026
29.192;05.09.2004;4033
29.196;12.09.2004;4040
29.191;19.09.2004;4047
29.191;26.09.2004;4054
29.196;03.10.2004;4061
29.088;10.10.2004;4068
28.913;17.10.2004;4075
28.720;24.10.2004;4082
28.638;31.10.2004;4089
28.648;07.11.2004;4096
28.502;14.11.2004;4103
28.289;21.11.2004;4110
27.901;28.11.2004;4117
28.080;05.12.2004;4124
27.909;12.12.2004;4131
27.803;19.12.2004;4138
27.698;26.12.2004;4145
27.738;02.01.2005;4152
27.923;09.01.2005;4159
28.053;16.01.2005;4166
28.055;23.01.2005;4173
27.936;30.01.2005;4180
28.054;06.02.2005;4187
27.921;13.02.2005;4194
27.719;20.02.2005;4201
27.673;27.02.2005;4208
27.428;06.03.2005;4215
27.494;13.03.2005;4222
27.682;20.03.2005;4229
27.787;27.03.2005;4236
27.829;03.04.2005;4243
27.897;10.04.2005;4250
27.687;17.04.2005;4257
27.759;24.04.2005;4264
27.797;01.05.2005;4271
27.943;08.05.2005;4278
28.007;15.05.2005;4285
28.058;22.05.2005;4292
28.348;29.05.2005;4299
28.462;05.06.2005;4306
28.496;12.06.2005;4313
28.619;19.06.2005;4320
28.605;26.06.2005;4327
28.750;03.07.2005;4334
28.669;10.07.2005;4341
28.615;17.07.2005;4348
28.606;24.07.2005;4355
28.401;31.07.2005;4362
28.286;07.08.2005;4369
28.590;14.08.2005;4376
28.410;21.08.2005;4383
28.255;28.08.2005;4390
28.245;04.09.2005;4397
28.350;11.09.2005;4404
28.480;18.09.2005;4411
28.473;25.09.2005;4418
28.467;02.10.2005;4425
28.516;09.10.2005;4432
28.610;16.10.2005;4439
28.441;23.10.2005;4446
28.550;30.10.2005;4453
28.820;06.11.2005;4460
28.736;13.11.2005;4467
28.836;20.11.2005;4474
28.933;27.11.2005;4481
28.837;04.12.2005;4488
28.610;11.12.2005;4495
28.745;18.12.2005;4502
28.715;25.12.2005;4509
28.644;01.01.2006;4516
28.388;08.01.2006;4523
28.211;15.01.2006;4530
28.074;22.01.2006;4537
28.207;29.01.2006;4544
28.272;05.02.2006;4551
28.172;12.02.2006;4558
28.169;19.02.2006;4565
27.841;26.02.2006;4572
28.021;05.03.2006;4579
27.643;12.03.2006;4586
27.778;19.03.2006;4593
27.682;26.03.2006;4600
27.674;02.04.2006;4607
27.686;09.04.2006;4614
27.444;16.04.2006;4621
27.150;23.04.2006;4628
27.063;30.04.2006;4635
26.875;07.05.2006;4642
27.034;14.05.2006;4649
27.031;21.05.2006;4656
26.737;28.05.2006;4663
26.996;04.06.2006;4670
26.892;11.06.2006;4677
27.086;18.06.2006;4684
26.818;25.06.2006;4691
26.813;02.07.2006;4698
26.949;09.07.2006;4705
26.843;16.07.2006;4712
26.766;23.07.2006;4719
26.669;30.07.2006;4726
26.794;06.08.2006;4733
26.707;13.08.2006;4740
26.776;20.08.2006;4747
26.701;27.08.2006;4754
26.772;03.09.2006;4761
26.749;10.09.2006;4768
26.642;17.09.2006;4775
26.762;24.09.2006;4782
26.856;01.10.2006;4789
26.947;08.10.2006;4796
26.838;15.10.2006;4803
26.698;22.10.2006;4810
26.710;29.10.2006;4817
26.595;05.11.2006;4824
26.614;12.11.2006;4831
26.393;19.11.2006;4838
26.143;26.11.2006;4845
26.263;03.12.2006;4852
26.350;10.12.2006;4859
26.275;17.12.2006;4866
26.289;24.12.2006;4873
26.347;31.12.2006;4880
26.557;07.01.2007;4887
26.502;14.01.2007;4894
26.542;21.01.2007;4901
26.474;28.01.2007;4908
26.323;04.02.2007;4915
26.181;11.02.2007;4922
26.141;18.02.2007;4929
26.125;25.02.2007;4936
26.195;04.03.2007;4943
25.985;11.03.2007;4950
26.006;18.03.2007;4957
25.937;25.03.2007;4964
25.914;01.04.2007;4971
25.757;08.04.2007;4978
25.695;15.04.2007;4985
25.634;22.04.2007;4992
25.688;29.04.2007;4999
25.761;06.05.2007;5006
25.774;13.05.2007;5013
25.843;20.05.2007;5020
25.835;27.05.2007;5027
25.910;03.06.2007;5034
25.908;10.06.2007;5041
25.816;17.06.2007;5048
25.678;24.06.2007;5055
25.642;01.07.2007;5062
25.394;08.07.2007;5069
25.326;15.07.2007;5076
25.530;22.07.2007;5083
25.422;29.07.2007;5090
25.400;05.08.2007;5097
25.696;12.08.2007;5104
25.628;19.08.2007;5111
25.595;26.08.2007;5118
25.511;02.09.2007;5125
25.277;09.09.2007;5132
24.980;16.09.2007;5139
24.797;23.09.2007;5146
24.907;30.09.2007;5153
24.864;07.10.2007;5160
24.784;14.10.2007;5167
24.665;21.10.2007;5174
24.557;28.10.2007;5181
24.395;04.11.2007;5188
24.430;11.11.2007;5195
24.257;18.11.2007;5202
24.439;25.11.2007;5209
24.418;02.12.2007;5216
24.622;09.12.2007;5223
24.673;16.12.2007;5230
24.427;23.12.2007;5237
24.401;30.12.2007;5244
24.320;06.01.2008;5251
24.463;13.01.2008;5258
24.481;20.01.2008;5265
24.432;27.01.2008;5272
24.680;03.02.2008;5279
24.528;10.02.2008;5286
24.378;17.02.2008;5293
23.955;24.02.2008;5300
23.792;02.03.2008;5307
23.533;09.03.2008;5314
23.731;16.03.2008;5321
23.424;23.03.2008;5328
23.473;30.03.2008;5335
23.404;06.04.2008;5342
23.398;13.04.2008;5349
23.559;20.04.2008;5356
23.737;27.04.2008;5363
23.676;04.05.2008;5370
23.660;11.05.2008;5377
23.480;18.05.2008;5384
23.618;25.05.2008;5391
23.471;01.06.2008;5398
23.718;08.06.2008;5405
23.508;15.06.2008;5412
23.347;22.06.2008;5419
23.421;29.06.2008;5426
23.187;06.07.2008;5433
23.152;13.07.2008;5440
23.318;20.07.2008;5447
23.418;27.07.2008;5454
24.172;03.08.2008;5461
24.541;10.08.2008;5468
24.314;17.08.2008;5475
24.574;24.08.2008;5482
25.410;31.08.2008;5489
25.455;07.09.2008;5496
25.206;14.09.2008;5503
24.964;21.09.2008;5510
25.902;28.09.2008;5517
26.133;05.10.2008;5524
26.275;12.10.2008;5531
27.118;19.10.2008;5538
26.987;26.10.2008;5545
26.947;02.11.2008;5552
27.290;09.11.2008;5559
27.424;16.11.2008;5566
27.840;23.11.2008;5573
28.088;30.11.2008;5580
27.601;07.12.2008;5587
28.088;14.12.2008;5594
28.906;21.12.2008;5601
29.319;28.12.2008;5608
30.809;04.01.2009;5615
32.444;11.01.2009;5622
32.773;18.01.2009;5629
35.647;25.01.2009;5636
36.075;01.02.2009;5643
34.535;08.02.2009;5650
35.844;15.02.2009;5657
35.819;22.02.2009;5664
35.674;01.03.2009;5671
34.588;08.03.2009;5678
33.412;15.03.2009;5685
33.692;22.03.2009;5692
33.215;29.03.2009;5699
33.418;05.04.2009;5706
33.371;12.04.2009;5713
33.095;19.04.2009;5720
32.969;26.04.2009;5727
32.249;03.05.2009;5734
32.032;10.05.2009;5741
30.960;17.05.2009;5748
30.876;24.05.2009;5755
30.783;31.05.2009;5762
30.840;07.06.2009;5769
30.986;14.06.2009;5776
31.024;21.06.2009;5783
31.178;28.06.2009;5790
32.599;05.07.2009;5797
31.672;12.07.2009;5804
30.901;19.07.2009;5811
31.368;26.07.2009;5818
31.557;02.08.2009;5825
31.576;09.08.2009;5832
31.547;16.08.2009;5839
31.518;23.08.2009;5846
31.476;30.08.2009;5853
30.553;06.09.2009;5860
30.132;13.09.2009;5867
30.039;20.09.2009;5874
30.056;27.09.2009;5881
29.541;04.10.2009;5888
29.327;11.10.2009;5895
28.848;18.10.2009;5902
29.041;25.10.2009;5909
28.976;01.11.2009;5916
28.758;08.11.2009;5923
28.911;15.11.2009;5930
29.237;22.11.2009;5937
29.388;29.11.2009;5944
30.168;06.12.2009;5951
30.553;13.12.2009;5958
29.586;20.12.2009;5965
29.948;27.12.2009;5972
29.678;03.01.2010;5979
29.459;10.01.2010;5986
29.753;17.01.2010;5993
30.260;24.01.2010;6000
30.371;31.01.2010;6007
30.113;07.02.2010;6014
29.924;14.02.2010;6021
29.859;21.02.2010;6028
29.703;28.02.2010;6035
29.210;07.03.2010;6042
29.236;14.03.2010;6049
29.530;21.03.2010;6056
29.178;28.03.2010;6063
29.058;04.04.2010;6070
28.998;11.04.2010;6077
29.026;18.04.2010;6084
29.156;25.04.2010;6091
30.517;02.05.2010;6098
30.406;09.05.2010;6105
30.980;16.05.2010;6112
30.559;23.05.2010;6119
31.376;30.05.2010;6126
31.482;06.06.2010;6133
30.896;13.06.2010;6140
30.931;20.06.2010;6147
31.015;27.06.2010;6154
30.745;04.07.2010;6161
30.435;11.07.2010;6168
30.307;18.07.2010;6175
30.107;25.07.2010;6182
29.713;01.08.2010;6189
30.500;08.08.2010;6196
30.552;15.08.2010;6203
30.542;22.08.2010;6210
30.529;29.08.2010;6217
30.747;05.09.2010;6224
30.908;12.09.2010;6231
30.590;19.09.2010;6238
30.351;26.09.2010;6245
29.747;03.10.2010;6252
30.202;10.10.2010;6259
30.322;17.10.2010;6266
30.698;24.10.2010;6273
30.530;31.10.2010;6280
30.756;07.11.2010;6287
30.994;14.11.2010;6294
31.297;21.11.2010;6301
31.082;28.11.2010;6308
30.815;05.12.2010;6315
30.701;12.12.2010;6322
30.352;19.12.2010;6329
30.433;26.12.2010;6336
30.535;02.01.2011;6343
30.003;09.01.2011;6350
29.814;16.01.2011;6357
29.693;23.01.2011;6364
29.306;30.01.2011;6371
29.222;06.02.2011;6378
29.067;13.02.2011;6385
28.792;20.02.2011;6392
28.076;27.02.2011;6399
28.517;06.03.2011;6406
28.345;13.03.2011;6413
28.230;20.03.2011;6420
28.200;27.03.2011;6427
27.936;03.04.2011;6434
28.031;10.04.2011;6441
27.910;17.04.2011;6448
27.285;24.04.2011;6455
27.604;01.05.2011;6462
28.043;08.05.2011;6469
28.067;15.05.2011;6476
27.941;22.05.2011;6483
27.707;29.05.2011;6490
27.878;05.06.2011;6497
28.050;12.06.2011;6504
28.250;19.06.2011;6511
27.870;26.06.2011;6518
27.990;03.07.2011;6525
28.070;10.07.2011;6532
27.770;17.07.2011;6539
27.610;24.07.2011;6546
28.330;31.07.2011;6553
29.100;07.08.2011;6560
29.000;14.08.2011;6567
28.810;21.08.2011;6574
29.170;28.08.2011;6581
30.050;04.09.2011;6588
30.550;11.09.2011;6595
32.080;18.09.2011;6602
32.200;25.09.2011;6609
32.340;02.10.2011;6616
30.870;09.10.2011;6623
31.100;16.10.2011;6630
29.810;23.10.2011;6637
30.690;30.10.2011;6644
30.280;06.11.2011;6651
30.850;13.11.2011;6658
31.520;20.11.2011;6665
30.950;27.11.2011;6672
31.490;04.12.2011;6679
31.980;11.12.2011;6686
31.180;18.12.2011;6693
32.130;25.12.2011;6700
31.970;01.01.2012;6707
31.850;08.01.2012;6714
31.320;15.01.2012;6721
30.120;22.01.2012;6728
30.190;29.01.2012;6735
30.040;05.02.2012;6742
29.940;12.02.2012;6749
29.170;19.02.2012;6756
29.310;26.02.2012;6763
29.420;04.03.2012;6770
29.230;11.03.2012;6777
29.270;18.03.2012;6784
29.340;25.03.2012;6791
29.560;01.04.2012;6798
29.610;08.04.2012;6805
29.440;15.04.2012;6812
29.310;22.04.2012;6819
29.790;29.04.2012;6826
30.140;06.05.2012;6833
31.300;13.05.2012;6840
32.060;20.05.2012;6847
33.670;27.05.2012;6854
32.490;03.06.2012;6861
32.350;10.06.2012;6868
33.225;17.06.2012;6875
32.415;24.06.2012;6882
32.878;01.07.2012;6889
32.575;08.07.2012;6896
32.034;15.07.2012;6903
32.051;22.07.2012;6910
31.964;29.07.2012;6917
31.866;05.08.2012;6924
32.039;12.08.2012;6931
31.791;19.08.2012;6938
32.271;26.08.2012;6945
31.649;02.09.2012;6952
30.454;09.09.2012;6959
